X1,X2,X3,X4
"K AND D HUCHINGSON LIMITED PARTNERSHIP, LLLP",LITTLE ROCK,AR,Good Standing
"K AND D HUCHINGSON LIMITED PARTNERSHIP, LLLP",LITTLE ROCK,AR,Converted
K E DODSON FAMILY & ASSOCIATES LLC,LITTLE ROCK,AR,Not Current
K ELLISON FLUIDS CONSULTING LLC,OZARK,AR,Revoked
"K G HENDERSON, INC.",RUSSELLVILLE,AR,Revoked
"K HALL & SONS PRODUCE, INC.",LITTLE ROCK,AR,Revoked
"K L GARRISON FAMILY, LLC",BENTON,AR,Revoked
"K&K PERSONAL TRAINING STUDIO, LLC",ARKADELPHIA,AR,Revoked
"K-JACK AND SON, INC.",RUSSELLVILLE,AR,Revoked
K-JOHNSON CONSTRUCTION CO. LLC,JACKSONVILLE,AR,Revoked
"K. DANIELSON, INC.",JACKSONVILLE,AR,Revoked
"K. EMERSON LOGGING, INC.",THORNTON,AR,Revoked
"K. HALL & SONS ENTERPRISES, INC.",LITTLE ROCK,AR,Good Standing
"K. JOHNSON AND SONS PROPERTIES, LLC",FORT SMITH,AR,Not Current
"K. JOHNSON INSURANCE AGENCY, INC.",DOVER,AR,Revoked
"K. JOHNSON TRUCKING, INC.",FORT SMITH,AR,Revoked
"K. L. BREEDEN & SONS, LP",LITTLE ROCK,AR,Revoked
K. NELSON PLUMBING LLC,WARD,AR,Good Standing
K. ROBINSON MEDIA INC.,SHERWOOD,AR,Revoked
"K.G. MOATS & SONS, L.L.C.",LITTLE ROCK,AR,Revoked
"KA JOHNSON, LLC",SPRINGDALE,AR,Good Standing
KAAS WILSON NATIONAL PC,LITTLE ROCK,AR,Good Standing
KAC MASONRY LLC,CONWAY,AR,Not Current
"KADRMAS, LEE & JACKSON, INC.",LITTLE ROCK,AR,Withdrawn
"KAIROS PRISON MINISTRY INTERNATIONAL, INC.",LITTLE ROCK,AR,Good Standing
"KAIROS PRISON MINISTRY, ARKANSAS DISTRICT, INC.",MAUMELLE,AR,Good Standing
KALEB WATSON SCHOLARSHIP MEMORIAL FUND,HAGARVILLE,AR,Good Standing
"KANDERSON LAND SERVICES, LLC",DOVER,AR,Not Current
"KAPLAN, BREWER, MAXEY & HARALSON, P.A.",LITTLE ROCK,AR,Revoked
"KAREN K. JOHMSON, P.A., ATTORNEY AT LAW",LITTLE ROCK,AR,Revoked
"KAREN STEVENSON, INC.",SPRINGDALE,AR,Dissolved
"KAROLSON 24TH STREET RENTALS, LLC",NORTH LITTLE ROCK,AR,Revoked
"KAROLSON 25TH STREET RENTALS, LLC",NORTH LITTLE ROCK,AR,Revoked
KARRIE EVENSON ART LIMITED LIABILITY COMPANY,ROGERS,AR,Good Standing
"KASON CONSTRUCTION, INC",BENTON,AR,Good Standing
"KASON, LLC",SPRINGDALE,AR,Good Standing
"KASSNER AND SONS, INC.",CABOT,AR,Good Standing
"KAT SIMPSON ENTERPRISES, LLC",BATESVILLE,AR,Revoked
"KATE ANDERSON ASKEW, LLC",LITTLE ROCK,AR,Good Standing
"KATE'S PERSONAL TRAINING, LLC",MONTICELLO,AR,Revoked
KATHERINE G JACKSON CPA PLLC,BENTONVILLE,AR,Good Standing
KATHERINE G JACKSON PC,BENTONVILLE,AR,Withdrawn
"KATHERINE HUDSON REALTOR, LLC",SPRINGDALE,AR,Good Standing
KATHERINE THOMPSON CREATIVE LLC,MARVELL,AR,Good Standing
"KATHRYN L. HUDSON, P.A.",LITTLE ROCK,AR,Good Standing
KATHY ROBINSON CONSULTING LLC,SHERWOOD,AR,Good Standing
"KATHY W. JACKSON, P.A.",EL DORADO,AR,Revoked
"KATIE WATSON BINGHAM, P.A.",LITTLE ROCK,AR,Good Standing
"KAY G. SIMPSON TRUCKING, LLC",MARIANNA,AR,Good Standing
"KAY M. WILSON INVESTMENTS, LLC",MOUNTAIN HOME,AR,Good Standing
KAYMAN AND SONS LLC,,AR,Revoked
"KB JOHNSON INVESTMENTS, LLC",ALMA,AR,Good Standing
"KC MASONRY, INC.",BENTONVILLE,AR,Dissolved
"KD JOHNSON ENTERPRISES, INC.",STAR CITY,AR,Revoked
"KEENE & SONS TRUCKING, INC.",DARDANELLE,AR,Revoked
"KEEP JACKSONVILLE BEAUTIFUL, INC.",JACKSONVILLE,AR,Good Standing
"KEEP THE MONEY IN MADISON COUNTY, INC.",KINGSTON,AR,Good Standing
KEIL & GOODSON P.A.,TEXARKANA,AR,Good Standing
"KEITH ANDERSON ELITE PORT, INC.",BATESVILLE,AR,Revoked
"KEITH D. PETERSON & COMPANY, INC.",,,Used
"KEITH D. PETERSON & COMPANY, INC.",NEWPORT,AR,Good Standing
"KEITH DAVIDSON, INC.",BENTONVILLE,AR,Revoked
"KEITH E. JACKSON AGENCY, INC.",EL DORADO,AR,Good Standing
"KEITH EDMONDSON CONSTRUCTION CO., LLC",FAYETTEVILLE,AR,Good Standing
"KEITH JACKSON #88, LLC",LITTLE ROCK,AR,Good Standing
"KEITH JACKSON HAULING, LLC",EUREKA SPRINGS,AR,Good Standing
"KEITH LAWSON MOTOR SPORTS, INC.",HOUSTON,AR,Good Standing
"KEITH N. ANDERSON, INC.",LITTLE ROCK,AR,Revoked
"KELL MASONRY, INC.",SEARCY,AR,Revoked
"KELLAR & SON FARMS, INC.",BRINKLEY,AR,Revoked
"KELLER JOHNSON BUILDERS, INC.",CONWAY,AR,Good Standing
"KELLER JOHNSON CONSTRUCTION, INC.",CONWAY,AR,Good Standing
"KELLERMEYER BERGENSONS SERVICES, LLC",LITTLE ROCK,AR,Good Standing
KELLEY-NELSON CONSTRUCTION COMPANY,LITTLE ROCK,AR,Administratively Dissolved
KELLEYS SEASONINGS LLC,MARIONION,AR,Good Standing
"KELLUM & SON CARPORTS, L.L.C.",CONWAY,AR,Dissolved
"KELLY DAVIDSON GOLF, INC.",CAMDEN,AR,Revoked
KELLY E JACKSON COTA LLC,PINE BLUFF,AR,Revoked
"KELLY EASON BUILDING, LLC",FAYETTEVILLE,AR,Good Standing
"KELLY HENSON ELECTRIC, INC.",FAYETTEVILLE,AR,Revoked
"KELLY JACKSON CONSTRUCTION, LLC",OZARK,AR,Revoked
KELLY LARSON LLP,LAKEVIEW,AR,Good Standing
"KELSON INDUSTRIAL SERVICE CO., LTD.",LITTLE ROCK,AR,Withdrawn
"KELSON INDUSTRIAL SERVICE COMPANY, INC.",LITTLE ROCK,AR,Merged
"KELSON MANAGEMENT, INC.",LITTLE ROCK,AR,Withdrawn
"KEMMONS WILSON INSURANCE GROUP, LLC",LITTLE ROCK,AR,Good Standing
"KEMMONS WILSON, INC.",LITTLE ROCK,AR,Good Standing
"KEMPSON FAMILY AR PROPERTY I, LLC",SHIRLEY,AR,Good Standing
"KEMPSON FAMILY AR PROPERTY II, LLC",SHIRLEY,AR,Dissolved
KEN & SONS LLC,CABOT,AR,Good Standing
"KEN AND SON, INC.",BOONEVILLE,AR,Revoked
"KEN GIBSON 1 PROPERTIES, LLC",TEXARKANA,AR,Revoked
"KEN JOHNSON PARKING, LLC",LITTLE ROCK,AR,Good Standing
"KEN RICHARDSON CONSTRUCTION, L.L.C.",CONWAY,AR,Revoked
KEN WILSON'S ALIGNMENT & SERVICE CENTER LLC,FORT SMITH,AR,Good Standing
"KENCAS MASONRY, LLC",FAYETTEVILLE,AR,Good Standing
KENDRIX TYSON ENTERPRISES LLC,FAYETTEVILLE,AR,Revoked
KENNEDY AND SONS LLC,BENTONVILLE,AR,Good Standing
"KENNEDY WILSON AUCTION GROUP,INC.",LITTLE ROCK,AR,Good Standing
KENNEDY-WILSON INTERNATIONAL,X,AR,Withdrawn
"KENNEMORE-WILSON AGENCY, LLC",OSCEOLA,AR,Good Standing
"KENNETH B. ROBINSON, M.S., CONSULTING SERVICES, P.A.",PINE BLUFF,AR,Good Standing
"KENNETH E. PEARSON, D.D.S., P.A.",LITTLE ROCK,AR,Good Standing
"KENNETH JOHNSON TRUCKING, INC.                                    (R)",LITTLE ROCK,AR,Revoked
"KENNETH MARK ANDERSON, D.D.S., P.A.",JACKSONVILLE,AR,Dissolved
"KENNETH MOUNCE MASONRY, INC.",SPRINGDALE,AR,Revoked
"KENNETH PHILLIPS & SONS, INCORPORATED",PARAGOULD,AR,Revoked
"KENNETH S. HIXSON, ATTORNEY AT LAW, PLLC",FAYETTEVILLE,AR,Dissolved
"KENNETH SANSON FARMS, INC.",VILONIA,AR,Dissolved
"KENNETH WILSON FARMS, LLC",WYNNE,AR,Revoked
"KENNSON FARMS, LLC",JOINER,AR,Revoked
"KENNY JACKSON FARMS, INC.",LEACHVILLE,AR,Dissolved
"KENSON ENTERPRISES, INC.",FAYETTEVILLE,AR,Revoked
KENSON INNOVATIONS LLC,SAINT JOE,AR,Good Standing
KENSON INVESTMENT CORPORATION,LITTLE ROCK,AR,Revoked
KENT A. MASON FAMILY LIMITED PARTNERSHIP,SPRINGDALE,AR,Revoked
KENT FALWELL AND SONS LLC,FAYETTEVILLE,AR,Good Standing
KENT FALWELL AND SONS PARTNERSHIP,NEWPORT,AR,Converted
"KENT GIPSON FARMS, INC.",OSCEOLA,AR,Good Standing
"KENT JOHNSON PROPERTIES, LLC",MONTICELLO,AR,Good Standing
"KENT JOHNSON'S WAREHOUSE SHOWROOM, INC.",MONTICIELLO,AR,Dissolved
"KENT MASON, M.D., P.A.",SPRINGDALE,AR,Good Standing
KENT-ANDERSON CONCRETE LIMITED PARTNERSHIP,LITTLE ROCK,AR,Withdrawn
"KERRI GARRISON, PLLC",PARAGOULD,AR,Revoked
"KERRY CARLSON, D.D.S., PLLC",CLARKSVILLE,AR,Good Standing
"KERRY ELLISON REALTY, LLC",LITTLE ROCK,AR,Not Current
"KERRY JOHNSON, INC.",MELBOURNE,AR,Withdrawn
KERRY THOMPSON INSURANCE AGENCY,SEARCY,AR,Good Standing
"KESL & RICHARDSON, P.A.                                            (D)",ENGLAND,AR,Dissolved
KESTERSON AG CONSULTING INC.,X,AR,Dissolved
"KESTERSON AG CONSULTING, INC.",WICKES,AR,Dissolved
"KESTERSON FOOD COMPANY, INC.",LITTLE ROCK,AR,Withdrawn
KESTERSON HUNTING CLUB,GILLHAM,AR,Good Standing
KESTERSON TRUCKING INC.,DIERKS,AR,Revoked
"KESTERSON, INC.",MENA,AR,Dissolved
"KEVIN JACOBSON, INC.",EUREKA SPRINGS,AR,Good Standing
"KEVIN JOHNSON CONSTRUCTION, LLC",PINE BLUFF,AR,Revoked
"KEVIN JOHNSON INSURANCE, INC.",BENTONVILLE,AR,Not Current
"KEVIN ROBINSON, LLC",RATCLIFF,AR,Revoked
"KEVIN STINSON CONSTRUCTION, LLC",SPRINGFIELD,AR,Good Standing
"KEY AND SON AUTO ELECTRIC, INC.",WEST MEMPHIS,AR,Revoked
KEYLON WATSON LLC,GREENBRIER,AR,Not Current
"KEYSTONE MASONRY DESIGNS, INC.",HOT SPRINGS,AR,Good Standing
"KEYSTONE MASONRY, LLC",DECATUR,AR,Dissolved
"KIDS INC., OF HARRISON",HARRISON,AR,Good Standing
KIEFFER & SON LIMITED PARTNERSHIP,JONESBORO,AR,Dissolved
"KIEWIT, PETER, SONS' CO.                                           (W)",LITTLE ROCK,AR,Withdrawn
"KIM JOHNSON, LLC",SPRINGDALE,AR,Good Standing
"KIM MCPHERSON FITNESS, L.L.C.",CONWAY,AR,Good Standing
KIMBALL & THOMPSON PRODUCE COMPANY,LOWELL,AR,Good Standing
"KIMBERLY A. STEVENSON, P.A.",LITTLE ROCK,AR,Revoked
KIMBERLY JOHNSON PROFESSIONAL ASSOCIATION,YELLVILLE,AR,Good Standing
"KINCAID & SONS, INC.",GASSVILLE,AR,Dissolved
"KINCAID & SONS, INC.",,,Used
KINDER SONGS INC,LITTLE ROCK,AR,Good Standing
"KING & SONS RENTALS OF NWA, LLC",FAYETTEVILLE,AR,Good Standing
"KING & SONS, GENERAL CONTRACTORS, INC.",CORNING,AR,Revoked
KING DAVID GRAND MASONIC LODGE OF THE STATE OF ARKANSAS,NORTH LITTLE ROCK,AR,Good Standing
"KING JASON ENTERPRISES, INC.",LITTLE ROCK,AR,Revoked
KING'S HIGHWAY AND SON'S LLC.,JONESBORO,AR,Good Standing
"KING'S HOUSE UNITED PENTECOSTAL CHURCH OF JACKSONVILLE, ARKANSAS, THE",X,AR,Good Standing
"KING, MACK, AND SON CONSTRUCTION CO., INC.",X,AR,Revoked
"KINGDOM OF SONS MINISTRY INTERNATIONAL, INC.",ALEXANDER,AR,Good Standing
"KINGDOM SONS, INC.",BELLA VISTA,AR,Revoked
"KINGHAM DALTON WILSON, LTD.",HOT SPRINGS,AR,Not Current
"KINSELLA, R. A., & SONS, INC.",X,AR,Revoked
KINSON PROPERTIES AND INVESTMENT L.L.C.,MAUMELLE,AR,Revoked
"KINSONS ENTERPRISES, INC.                                          (*)",BATESVILLE,AR,Revoked
"KIRBY & WILLIAMSON, LLP",LITTLE ROCK,AR,Dissolved
"KIRK D. JOHNSON, P.A.",TEXARKANA,AR,Revoked
"KIRK MORRISON ENTERPRISES, LLC",CABOT,AR,Good Standing
"KIRK SANDERSON, INC.",TEXARKANA,AR,Good Standing
KIT'S & SON TRUCKING INC,STAMPS,AR,Good Standing
"KIWANIS CLUB OF HARRISON, ARKANSAS",HARRISON,AR,Good Standing
"KIWANIS CLUB OF JACKSONVILLE, INCORPORATED",JACKSONVILLE,AR,Good Standing
KLBENSON L.L.C.,NORTH LITTLE ROCK,AR,Revoked
KLEIN AND SONS LLC,WEST MEMPHIS,AR,Revoked
"KLING AND SON CONSTRUCTION CO., INC.",MONTICELLO,AR,Revoked
KM COX & SON TRUCKING LLC,FULTON,AR,Good Standing
"KM MASONRY, INC.",BATESVILLE,AR,Good Standing
KMA CONSTRUCTION & MASONRY INC,NORTH LITTLE ROCK,AR,Good Standing
"KMJ ENTERPRISES JACKSONVILLE, LLC",ROGERS,AR,Dissolved
"KNELSON, LLC",MABELVALE,AR,Not Current
"KNIGHT & SONS TRASH AND LAWN SERVICE, INC.",RUSSELLVILLE,AR,Revoked
"KNIGHT & WILSON, INC.",LITTLE ROCK,AR,Good Standing
KNOW THE TRUTH PRISON MINISTRY,GREENBRIER,AR,Good Standing
KNOWLTON & SON WELDING AND CONSTRUCTION INC.,MARIONMARION,AR,Good Standing
KNOX NELSON FAMILY LIMITED PARTNERSHIP,PINE BLUFF,AR,Good Standing
KNOX NELSON FARMS LLC,WHITE HALL,AR,Good Standing
"KNOX NELSON OIL CO., INC.",PINE BLUFF,AR,Good Standing
KNOXIE HALL & SONS CONSTRUCTION COMPANY,LITTLE ROCK,AR,Revoked
"KNUTSON BROTHERS, INC.                                             (*)",LITTLE ROCK,AR,Good Standing
"KNWA RE HARRISON, LLC",FAYETTEVILLE,AR,Good Standing
"KOCH, GEORGE, SONS, INC.",LITTLE ROCK,AR,Withdrawn
"KOENIG & SONS, LLC",FORT SMITH,AR,Good Standing
KOINONIA OF HARRISON,HARRISON,AR,Good Standing
KOON & SONS ROOFING & RESTORATION LLC,MABELVALE,AR,Revoked
"KOPROVIC & SONS, INC.",X,AR,Merged
"KRAUS-ANDERSON CAPITAL, INC.",LITTLE ROCK,AR,Withdrawn
KRAUS-ANDERSON CONSTRUCTION COMPANY,LITTLE ROCK,AR,Good Standing
KRB & SONS QUALITY CONSTRUCTION INCORPORATED,HOT SPRINGS NATIONAL PARK,AR,Dissolved
KRETSON TRADING LTD. CO.,LITTLE ROCK,AR,Revoked
KRIMSON SWEETS INC.,JONESBORO,AR,Good Standing
"KRISTOFFERSON ENTERPRISES, INCORPORATED",X,AR,Revoked
"KRISTYN LAWSON, INC.",ROGERS,AR,Good Standing
"KS FERGUSON & CO., INC.",LOWELL,AR,Dissolved
"KT & SONS, LLC",EVANSVILLE,AR,Good Standing
"KT MASONRY, INC.",ALMA,AR,Dissolved
KUBOTA OF HARRISON LLC,SPRINGDALE,AR,Dissolved
"KUHLES & ATKINSON, LLC",FAYETTEVILLE,AR,Good Standing
"KW HOLDINGS DICKSON IMPROVEMENTS, LLC",FAYETTEVILLE,AR,Good Standing
"KW PROPERTIES OF HARRISON, LLC",HARRISON,AR,Good Standing
"KYLE A. EMERSON, CPA, INC.",WYNNE,AR,Good Standing
KYLE C ANDERSON LLC,BATESVILLE,AR,Good Standing
KYLE JOHNSON LLC,SPRINGDALENGDALE,AR,Good Standing
"L & D ROBERTSON4, LLC",BENTON,AR,Revoked
L & J  NELSON TRUCKING COMPANY LLC,NORTH LITTLE ROCK,AR,Good Standing
"L & J THOMPSON, LLC",PIGGOTT,AR,Dissolved
"L & K MASONRY, LLC",FLORAL,AR,Revoked
"L & L NELSON, LLC",LITTLE ROCK,AR,Good Standing
"L & V MASONRY, LLC",CONWAY,AR,Revoked
"L A MASONRY, INC.",ROGERS,AR,Revoked
"L D LENDERMAN & SON FARM, LLC",BONO,AR,Revoked
"L WILSON & COMPANY, LLC",PARAGOULD,AR,Merged
"L&L WOFFORD & SONS, LLC",JONESBORO,AR,Revoked
"L&S JACKSON FARMS, INC.",HUNTSVILLE,AR,Good Standing
L&S MASONRY INCORPORATED,X,AR,Revoked
"L&T WILSON ENTERPRISES, LLC",HUGHES,AR,Good Standing
"L. A. FREY & SONS, INC.                                          (R)",LITTLE ROCK,AR,Revoked
"L. C. MCCUISTON, JR. AND SON, INC.",WEST MEMPHIS,AR,Good Standing
"L. E. WILLIAMSON, INC.",MOUNTAIN HOME,AR,Good Standing
"L. J. HAMPTON & SON, INC.",HOPE,AR,Dissolved
"L. JOHNSON ER MED, INC.",HARRISON,AR,Dissolved
"L. LAWSON AGRI-CORP, INC.",WYNNE,AR,Revoked
"L. O. JOHNSON CONSTRUCTION CO., INC.                             (R)",HUNTINGTON,AR,Revoked
"L. R. JACKSON DEUCE ALL TENNIS CLUB, INC.",WEST MEMPHIS,AR,Good Standing
"L. R. WILSON FARMS, INC.",HICKORY RIDGE,AR,Good Standing
"L. T. TUMBLESON FARM, INC.",HUMNOKE,AR,Good Standing
"L. W. MATTESON, INC.",LITTLE ROCK,AR,Withdrawn
"L.B. JOHNSON, INC.",PINE BLUFF,AR,Revoked
L.C. RICHARDSON INC.,TEXARKANA,AR,Revoked
"L.C. WILSON INVESTMENTS LIMITED PARTNERSHIP, LLLP",SHERIDAN,AR,Revoked
L.D. BRONSON-ARCHITECT- LLC,CHEROKEE VILLAGE,AR,Revoked
"L.D. GIBSON PROPERTIES NORTH, LLC",FAYETTEVILLE,AR,Good Standing
"L.E. ABRAMSON & ASSOCIATES, INC.",SPRINGDALE,AR,Revoked
"L.J. JASON ENTERPRISES, LLC",LITTLE ROCK,AR,Revoked
"L.L. COLE & SON, INC.",COTTON PLANT,AR,Good Standing
"LA AND WC RISON1 LINDSEY ""LP""",RISON,AR,Good Standing
"LA BELLE MAISON, LLC",SPRINGDALE,AR,Revoked
"LA MAISON BLANCHE, LTD. CO.",MONTICELLO,AR,Dissolved
"LA MAISON DES TARTES, LTD.",FAYETTEVILLE,AR,Dissolved
"LA MASONRY, INC.",ROGERS,AR,Revoked
LABEKSON EVALUATION AND MANAGEMENT SERVICES,LITTLE ROCK,AR,Good Standing
"LABELLE JACKSONVILLE, LLC",LITTLE ROCK,AR,Good Standing
"LABSYSONE, INC.                                                    (R)",SHERWOOD,AR,Revoked
"LACY TOMLINSON PHOTOGRAPHY, LLC",HARRISON,AR,Good Standing
LADYMADISON LLC,SPRINGDALE,AR,Revoked
"LAFAYETTE HARRISON PROPERTIES, LLC",MOUNTAIN HOME,AR,Good Standing
"LAFAYETTE LAWSON'S TRAINING CENTER, INC.",X,AR,Revoked
"LAIRSON HIGHTOWER, LLC",JONESBORO,AR,Good Standing
"LAKE GREESON BEAUTIFICATION SOCIETY, INC.",MURFREESBORO,AR,Good Standing
"LAKE GREESON DEVELOPMENT, LLC",HOT SPRINGS,AR,Good Standing
"LAKE GREESON SPORTSMEN'S ALLIANCE, INC.",GLENWOOD,AR,Good Standing
LAKE HARRISON CLINIC,,,Expired
LAKE JOHNSON LLC,SPRINGDALE,AR,Dissolved
"LAKE SHORE FARMS AT NELSON HOLLOW PROPERTY OWNERS ASSOCIATION, INC.",LOWELL,AR,Good Standing
"LAKENAN INSURANCE AGENCY OF JACKSON, INC.",LITTLE ROCK,AR,Withdrawn
"LAKEVIEW LIFE TABERNACLE, INC. JACKSONVILLE, ARKANSAS",JACKSONVILLE,AR,Good Standing
LAKISHA JOHNSON ENTERPRISES COMPANY,SHERWOOD,AR,Good Standing
"LAKISHA M. JOHNSON MINISTRIES, INC.",LITTLE ROCK,AR,Good Standing
LAKISHA T. JOHNSON LLC,JACKSONVILLE,AR,Revoked
"LAMBERSON INSURANCE AGENCY, INC.",RUSSELLVILLE,AR,Good Standing
LAMBERSON KOSTER & COMPANY,X,AR,Withdrawn
LAMBERSON KOSTER & COMPANY,LITTLE ROCK,AR,Merged
"LAMBERSON RENTALS, LLC",BAY,AR,Not Current
"LAMP, RYNEARSON & ASSOCIATES, INC.",LITTLE ROCK,AR,Good Standing
LAMSON CORPORATION,LITTLE ROCK,AR,Withdrawn
LANDERS & COURSON CPAS PA,CAMDEN,AR,Dissolved
"LANDERS MCLARTY JACKSON MS, LLC",LITTLE ROCK,AR,Dissolved
LANG & SONS INVESTMENT LLC,LAVACA,AR,Revoked
"LANGSTON & SONS, LLC",BIGELOW,AR,Dissolved
LANWOOD RISONIAN CLUB,RISON,AR,Good Standing
LARA CARLSON LLC,ALMA,AR,Good Standing
LARA'S MASONRY LLC,BENTON,AR,Revoked
LARK'S SONG LLC,,AR,Expired
LARK'S SONG LLC,LITTLE ROCK,AR,Good Standing
LARRA JOHNSON RESEARCH LLC,POTTSVILLE,AR,Good Standing
"LARRISON ENTERPRISES, INC.",LAKE VILLAGE,AR,Merged
"LARRISON ENTERPRISES, LLC",LAKE VILLAGE,AR,Good Standing
"LARRISON EQUIPMENT RENTALS, INC.",CLARKSVILLE,AR,Revoked
LARRISON FAMILY LIMITED PARTNERSHIP,LITTLE ROCK,AR,Converted
LARRISON TRUCKING LLC,CLARKSVILLE,AR,Good Standing
LARRY DAVIS AND SON TRUCKING INC.,Hampton,AR,Dissolved
"LARRY E. SIMPSON CONSTRUCTION CO., INC.",FORT SMITH,AR,Revoked
"LARRY EDMONDSON & ASSOCIATES, INC.",FORT SMITH,AR,Revoked
"LARRY GIBSON MASONRY, INC.",NORTH LITTLE ROCK,AR,Revoked
"LARRY J. ROBINSON & CO., INC.",X,AR,Revoked
LARRY JB HUDSON & ASSOCIATES LLC,CABOT,AR,Revoked
"LARRY JOHNSON ENTERPRISES, LLC",CROSSETT,AR,Good Standing
"LARRY LAWSON, M.D., LTD.",PARAGOULD,AR,Revoked
"LARRY STANLEY AND SONS, INC.",PARAGOULD,AR,Good Standing
"LARRY STRACENER & SON CONSTRUCTION, LLC",JONESBORO,AR,Good Standing
"LARRY W. ROBINSON LOGGING, INC.",FORDYCE,AR,Dissolved
"LARRY WATSON CONSTRUCTION, INC.",LITTLE ROCK,AR,Good Standing
"LARRY WILLIAMSON PROPERTIES, LLC",LITTLE ROCK,AR,Revoked
"LARRY WILSON CONSTRUCTION, INC.",JESSIEVILLE,AR,Dissolved
"LARSON & ASSOCIATES, INC.",FAYETTEVILLE,AR,Revoked
"LARSON & MCGOWIN, INC.",LITTLE ROCK,AR,Converted
"LARSON & MCGOWIN, LLC",LITTLE ROCK,AR,Good Standing
"LARSON CONSTRUCTION SERVICES, LLC",ROGERS,AR,Dissolved
"LARSON DESIGN GROUP, INC",LITTLE ROCK,AR,Withdrawn
LARSON ENGINEERING OF MINNESOTA,LITTLE ROCK,AR,Good Standing
"LARSON FARM & LAWN, INC.",HARRISON,AR,Withdrawn
"LARSON FARM, LLC",STUTTGART,AR,Good Standing
"LARSON LAWNCARE, INC.",BENTONVILLE,AR,Good Standing
"LARSON LONG-TERM CARE GROUP, LLC",LITTLE ROCK,AR,Revoked
"LARSON MANUFACTURING, INC.",SPRINGDALE,AR,Revoked
"LARSON MARKETING MANAGEMENT AND CONSULTING, INC.",PRAIRIE GROVE,AR,Revoked
"LARSON PROPERTIES, LLC",LITTLE ROCK,AR,Good Standing
LARSON TANK CO.                                                    (R),LITTLE ROCK,AR,Revoked
"LARSON TRUCKING, LLC",PRAIRIE GROVE,AR,Dissolved
"LARSON'S FAST LANE, INC.",ROGERS,AR,Good Standing
"LARSON-DANIELSON CONSTRUCTION CO., INC.",LITTLE ROCK,AR,Revoked
"LASON SERVICES, INC.",LITTLE ROCK,AR,Withdrawn
LASONIA'S CATERING & ENTERPRISE LLC,FORT SMITH,AR,Good Standing
LASONIAS ACTIVITY LAND & AT-RISK INC.,HOT SPRINGS NATIONAL PARKO,AR,Pending
"LATISHA J. JACKSON, LLC",LITTLE ROCK,AR,Good Standing
"LAURA D. JOHNSON LAW, PA",LITTLE ROCK,AR,Dissolved
"LAURA K. SIMPSON, M.D., P.A.",SPRINGDALE,AR,Dissolved
LAUREE DOSS WILSON FAMILY LIMITED PARTNERSHIP,LITTLE ROCK,AR,Good Standing
"LAURESA LARSON RDN, LLC",MOUNTAIN HOME,AR,Good Standing
"LAW OFFICE OF JAMISON BONDS, PLLC",FORT SMITH,AR,Good Standing
"LAW OFFICE OF JASON D. FILES, PLLC",LITTLE ROCK,AR,Good Standing
"LAW OFFICE OF M. J. PATTERSON, INC.",CABOT,AR,Revoked
"LAW OFFICE OF RYAN SWANSON, PLLC",LITTLE ROCK,AR,Revoked
"LAW OFFICE OF TYLER H. BENSON, PLLC",FAYETTEVILLE,AR,Good Standing
"LAW OFFICES OF JEREMIAH PEARSON, P.L.L.C.",SILOAM SPRINGS,AR,Good Standing
"LAW OFFICES OF NATALIE J. DICKSON, P.A.",JONESBORO,AR,Revoked
"LAW OFFICES OF SHELTON HARRISON & PINSON, PLLC",LITTLE ROCKLITTLE ROCK,AR,Revoked
LAWAL SCOTT ERICKSON ARCHITECTS INC.,MOUNTAIN HOME,AR,Good Standing
"LAWLER & SONS, INC.",LITTLE ROCK,AR,Revoked
"LAWRENCE E. HUDSON II INSURANCE AGENCY, INC.",DUMAS,AR,Good Standing
LAWRENCE FERGUSON LLC,ELKINS,AR,Good Standing
"LAWRENCE HUDSON ENTERPRISES, INC.",ROGERS,AR,Revoked
"LAWRENCE W. JACKSON, PLLC",MARION,AR,Good Standing
"LAWRENCE, H. L., & SON, INC.                                       (R)",MALVERN,AR,Revoked
"LAWSON & COBB, INC.",ARKADELPHIA,AR,Good Standing
"LAWSON & COMPANY GRAPHICS AND PRINTING, INC.",LITTLE ROCK,AR,Good Standing
"LAWSON & LAWSON TOWING CO., INC.",WYNNE,AR,Dissolved
"LAWSON & LAWSON, INC.",MCGEHEE,AR,Revoked
"LAWSON & OWEN ENTERPRISES, INC.",PINE BLUFF,AR,Good Standing
LAWSON & SONS LLC,HARRISON,AR,Revoked
"LAWSON & STUBBLEFIELD ENTERPRISES, INC.",FAYETTEVILLE,AR,Revoked
"LAWSON 1901, LLC",FORT SMITH,AR,Good Standing
"LAWSON ACCOUNTING GROUP, PLLC",FORT SMITH,AR,Good Standing
"LAWSON AIRCRAFT REPAIR, INC.",MENA,AR,Revoked
"LAWSON AND SON AUTO SUPPLY, INC.                                   (R)",SPARKMAN,AR,Revoked
"LAWSON APOSTOLIC CHURCH, INC.",BENTON,AR,Good Standing
"LAWSON COMMUNITY CENTER ASSOCIATION, INC.                          (D)",LAWSON,AR,Dissolved
"LAWSON CONSTRUCTION CO, INC.",ALMA,AR,Revoked
LAWSON CONTRACTING GROUP LLC,NORTH LITTLE ROCK,AR,Good Standing
LAWSON CONTRACTING L.L.C.,GREENBRIER,AR,Good Standing
"LAWSON CUT OFF, LLC",LITTLE ROCK,AR,Dissolved
"LAWSON DEER CAMP, INC.",EL DORADO,AR,Good Standing
